2024-05-16 01:28:29 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-16 01:28:29 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-16 01:28:29 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-16 01:28:29 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 472 ms
2024-05-16 01:28:30 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 15 endpoint(s) beneath base path '/actuator'
2024-05-16 01:28:30 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-16 01:28:30 [main] INFO  c.t.monitoring.MonitoringApplication - Started MonitoringApplication in 0.991 seconds (process running for 1.198)
2024-05-16 01:28:30 [RMI TCP Connection(2)-192.168.0.218] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-16 01:28:30 [RMI TCP Connection(2)-192.168.0.218] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-16 01:28:30 [RMI TCP Connection(2)-192.168.0.218] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2024-05-16 01:28:39 [http-nio-8080-exec-4] INFO  c.t.m.controller.JobController - job started ...
2024-05-16 01:28:40 [http-nio-8080-exec-4] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":0.79935525}
2024-05-16 01:28:42 [http-nio-8080-exec-6] INFO  c.t.m.controller.JobController - job started ...
2024-05-16 01:28:44 [http-nio-8080-exec-6] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":1.091274708}
2024-05-16 01:30:54 [main] INFO  c.t.monitoring.MonitoringApplication - Starting MonitoringApplication using Java 21.0.1 with PID 22125 (/Users/mikas/git/monitoring/build/classes/java/main started by mikas in /Users/mikas/git/monitoring)
2024-05-16 01:30:54 [main] INFO  c.t.monitoring.MonitoringApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-16 01:30:55 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-16 01:30:55 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-16 01:30:55 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-16 01:30:55 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-16 01:30:55 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 498 ms
2024-05-16 01:30:55 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 15 endpoint(s) beneath base path '/actuator'
2024-05-16 01:30:55 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-16 01:30:55 [main] INFO  c.t.monitoring.MonitoringApplication - Started MonitoringApplication in 1.036 seconds (process running for 1.403)
2024-05-16 01:30:56 [RMI TCP Connection(2)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-16 01:30:56 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-16 01:30:56 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-05-16 01:31:06 [http-nio-8080-exec-5] INFO  c.t.m.controller.JobController - job started ...
2024-05-16 01:31:07 [http-nio-8080-exec-5] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":1.667624666}
2024-05-16 01:31:10 [http-nio-8080-exec-9] INFO  c.t.m.controller.JobController - job started ...
2024-05-16 01:31:11 [http-nio-8080-exec-9] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":0.936746583}
2024-05-16 01:31:27 [http-nio-8080-exec-2] INFO  c.t.m.controller.JobController - job started ...
2024-05-16 01:31:29 [http-nio-8080-exec-2] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":1.433885875}
2024-05-16 09:55:27 [main] INFO  c.t.monitoring.MonitoringApplication - Starting MonitoringApplication using Java 21.0.1 with PID 25682 (/Users/mikas/git/monitoring/build/classes/java/main started by mikas in /Users/mikas/git/monitoring)
2024-05-16 09:55:27 [main] INFO  c.t.monitoring.MonitoringApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-16 09:55:27 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-16 09:55:27 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-16 09:55:27 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-16 09:55:28 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-16 09:55:28 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 510 ms
2024-05-16 09:55:28 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 15 endpoint(s) beneath base path '/actuator'
